,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
2,36.5,35.5,35.5,0.37751953975825847,0.36723136318615374,0.010288176572104735,1.0,0.0
3,44.0,40.5,40.5,0.40741059880351566,0.3740518215637457,0.03335877723976993,3.5,0.0
4,47.25,44.75,44.75,0.4129546079868029,0.4014222296951999,0.011532378291602974,2.5,3.25
5,48.0,47.5,44.75,0.41407955877436664,0.4014222296951999,0.012657329079166724,3.25,2.25
6,66.75,63.5,63.5,0.4576137572910899,0.41204953990842424,0.04556421738266564,3.25,5.75
7,77.5,74.75,74.75,0.4625576229981532,0.4337310786841676,0.02882654431398557,2.75,4.5
8,92.5,91.0,91.0,0.4599591079512197,0.4336813827821356,0.02627772516908411,1.5,9.75
9,118.25,115.0,115.0,0.4415605607283426,0.4276869862968721,0.013873574431470526,3.25,3.0
10,149.0,147.0,147.0,0.4218141188132944,0.4029558789571217,0.018858239856172687,2.0,0.0
11,153.25,149.5,149.5,0.5292884688032079,0.4182768570328201,0.11101161177038782,3.75,21.5
12,166.75,164.5,164.5,0.49574563258925297,0.4782861112566682,0.01745952133258477,2.25,2.0
13,181.25,179.5,179.5,0.4875136281040527,0.47602564957476595,0.011487978529286735,1.75,5.5
