,Unnamed: 0,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
0,0,59.0,56.25,56.25,0.15935478429799332,0.12890214929914845,0.030452634998844874,2.75,0.0
1,1,65.25,62.5,62.5,0.19852445898334686,0.15368319604605124,0.044841262937295616,2.75,0.0
2,2,66.5,65.75,65.75,0.20908889208474768,0.19434535310151774,0.014743538983229916,0.75,0.5
3,3,73.0,70.0,70.0,0.278155098614982,0.1938562888675458,0.0842988097474362,3.0,0.0
4,4,73.75,73.25,70.0,0.2972912791857893,0.1938562888675458,0.10343499031824356,3.75,0.0
5,5,76.25,74.5,74.5,0.3532502882633289,0.2890844120663004,0.06416587619702857,1.75,0.0
6,6,80.5,77.0,77.0,0.4118629933746317,0.32536127093066913,0.08650172244396259,3.5,0.0
7,7,83.25,81.0,81.0,0.5333355593602929,0.40200571354488296,0.13132984581540985,2.25,0.0
8,8,85.25,83.5,83.5,0.6569459898907679,0.5332959832450549,0.12365000664571303,1.75,1.75
9,9,86.25,85.75,85.75,0.6325063362814073,0.5969178037955467,0.03558853248586058,0.5,0.5
10,10,91.5,87.75,87.75,0.6760045462158637,0.5789613834350916,0.09704316278077207,3.75,0.0
11,11,95.75,93.75,93.75,0.8224762203158291,0.6674005103043904,0.15507571001143872,2.0,0.0
12,12,104.25,96.25,96.25,2.1526122049625966,0.7989441293089353,1.3536680756536614,8.0,0.0
13,13,108.5,105.5,105.5,2.3928840672775458,2.121073230306989,0.27181083697055675,3.0,0.0
14,14,111.5,109.25,109.25,2.460203052480023,2.349890080573972,0.11031297190605116,2.25,0.0
15,15,114.75,112.25,112.25,2.5742991617274957,2.443667910701558,0.13063125102593665,2.5,0.0
16,16,116.5,115.0,115.0,2.6107105437157254,2.5714241483080653,0.039286395407659665,1.5,0.5
17,17,118.75,117.0,117.0,2.9233991867883704,2.580977906976708,0.34242127981166304,1.75,14.5
18,18,120.0,119.5,119.5,2.899027162363724,2.8770079951060903,0.02201916725763331,0.5,0.5
19,19,123.25,121.75,121.75,3.05260505185373,2.8294572088598615,0.22314784299386886,1.5,1.75
20,20,126.0,125.5,125.5,2.858827639041902,2.838656576808934,0.02017106223296805,0.5,0.5
21,21,128.75,127.75,127.75,2.8259579496794727,2.790800390169424,0.035157559510048834,1.0,0.5
22,22,130.25,129.5,129.5,2.8100016644253434,2.790493668831086,0.0195079955942572,0.75,1.5
23,23,131.25,130.5,130.5,2.824367026647357,2.8084335339279902,0.01593349271936706,0.75,0.25
24,24,134.0,133.25,133.25,2.7642344305674023,2.744242825211165,0.019991605356236786,0.75,0.0
25,25,136.0,134.5,134.5,2.8153125300477018,2.7623783978062897,0.052934132241411636,1.5,0.75
26,26,140.75,137.0,137.0,3.642056587148353,2.7774747922662333,0.8645817948821195,3.75,0.0
27,27,143.25,143.0,143.0,3.3200540472403617,3.3083616586543285,0.011692388586033164,0.25,0.5
28,28,146.5,144.25,144.25,3.9148889509458433,3.2551224173634568,0.6597665335823875,2.25,0.0
29,29,149.75,147.0,147.0,4.4406094391852955,3.8915389102652247,0.5490705289200717,2.75,2.5
30,30,155.0,152.75,152.75,4.5200461294091765,4.070594467135292,0.4494516622738853,2.25,2.25
31,31,159.75,159.0,159.0,4.144574174026687,4.134018955123581,0.010555218903105512,0.75,1.25
32,32,163.5,161.5,161.5,4.9953299632375385,4.1128334660129084,0.882496497224631,2.0,2.25
33,33,167.75,167.0,167.0,4.4004042756444814,4.333531833671815,0.0668724419726674,0.75,0.5
34,34,172.25,171.25,171.25,4.117517283138617,4.104940364896505,0.012576918242111823,1.0,0.25
35,35,174.5,173.25,173.25,4.109203593064619,4.075019466329686,0.03418412673493254,1.25,0.5
36,36,177.0,175.0,175.0,4.838175559058259,4.089423699615195,0.7487518594430638,2.0,2.5
37,37,181.0,180.5,180.5,4.320263611705721,4.304177641238768,0.01608597046695337,0.5,0.25
38,38,183.25,181.25,181.25,4.9766552411497615,4.310593460992541,0.6660617801572197,2.0,1.75
39,39,188.25,187.5,187.5,4.31446126213549,4.292252118625663,0.02220914350982817,0.75,0.5
40,40,190.75,190.0,190.0,4.2472172318899375,4.229184045123433,0.018033186766503558,0.75,0.25
41,41,196.5,195.0,195.0,4.060960418715233,3.986625715330121,0.07433470338511182,1.5,17.25
42,42,197.25,197.0,195.0,4.0594934622502485,3.986625715330121,0.07286774692012754,2.25,16.5
43,43,200.0,197.75,197.75,4.849071787131129,4.029045727852266,0.8200260592788622,2.25,2.5
44,44,205.5,203.5,203.5,4.729899619484116,4.271617288790062,0.45828233069405394,2.0,1.5
45,45,210.5,209.25,209.25,4.241323318890134,4.129522611599889,0.11180070729024738,1.25,1.75
46,46,211.25,211.0,209.25,4.2316296166337635,4.129522611599889,0.1021070050338766,2.0,1.0
47,47,230.5,226.75,226.75,5.3366209891343335,3.734412801326685,1.6022081878076486,3.75,5.25
48,48,233.25,232.5,232.5,5.09892665506129,4.996115455147993,0.10281119991329746,0.75,0.75
49,49,241.75,240.0,240.0,4.216941956872287,4.0615168196135185,0.15542513725876628,1.75,2.75
50,50,242.5,242.25,240.0,4.216308150321327,4.0615168196135185,0.15479133070780635,2.5,2.0
51,51,256.25,254.75,254.75,3.88208686220106,3.849898107209912,0.032188754991147935,1.5,3.0
52,52,264.25,260.5,260.5,4.4306253078801845,3.8503511396015186,0.5802741682786654,3.75,5.75
