í êMópâºID,1
RRI :1000Hz
â¡ë¨ìx :Peak
Start,2020/12/23
activity,v002
time,RRI,temperature,Acc X,Acc Y,Acc Z,HF,LF/HF,LF ratio,activity,HR
17:08:30,697,26.7,-0.09,-1.04,0.22,286.352,5.950,85.611,0.07,86
17:08:30,699,26.7,-0.06,-1.07,0.25,287.167,6.096,85.907,0.10,86
17:08:31,743,26.7,-0.06,-1.01,0.25,289.857,6.189,86.090,0.04,81
17:08:32,817,26.7,-0.09,-1.04,0.28,296.744,6.179,86.071,0.08,73
17:08:33,948,26.7,-0.09,-1.01,0.25,306.729,6.102,85.920,0.04,63
17:08:34,916,26.7,-0.09,-1.01,0.28,319.565,5.974,85.661,0.05,66
17:08:35,908,26.7,-0.06,-1.07,0.25,320.923,6.147,86.007,0.10,66
17:08:36,877,26.7,-0.09,-1.07,0.28,332.843,6.017,85.749,0.11,68
17:08:37,829,26.7,-0.03,-1.01,0.35,344.319,5.890,85.486,0.07,72
17:08:37,837,26.7,0.03,-1.01,0.35,353.573,5.803,85.302,0.07,72
17:08:38,825,26.8,0.03,-0.98,0.38,364.589,5.678,85.025,0.05,73
17:08:39,831,26.8,-0.13,-1.07,0.41,373.832,5.591,84.827,0.15,72
17:08:40,813,26.8,-0.09,-1.04,0.19,383.149,5.506,84.629,0.06,74
17:08:40,741,26.8,-0.09,-1.01,0.25,392.168,5.428,84.444,0.04,81
17:08:41,755,26.8,-0.09,-1.04,0.22,400.561,5.360,84.278,0.07,79
17:08:42,762,26.8,-0.09,-1.04,0.16,407.951,5.325,84.190,0.06,79
17:08:43,732,26.8,-0.09,-1.04,0.22,416.121,5.285,84.088,0.07,82
17:08:43,769,26.8,-0.09,-1.07,0.22,423.675,5.262,84.030,0.10,78
17:08:45,821,26.8,-0.09,-1.04,0.19,431.261,5.255,84.013,0.06,73
17:08:45,795,26.8,-0.09,-1.07,0.22,439.595,5.260,84.026,0.10,75
17:08:46,867,26.8,-0.09,-1.04,0.19,447.141,5.298,84.121,0.06,69
17:08:47,874,26.8,-0.09,-1.04,0.22,455.244,5.352,84.258,0.07,69
17:08:48,870,26.8,-0.09,-1.04,0.22,462.760,5.434,84.457,0.07,69
17:08:49,892,26.8,-0.09,-1.04,0.19,469.843,5.545,84.722,0.06,67
17:08:50,890,26.8,-0.09,-1.04,0.22,476.576,5.688,85.048,0.07,67
17:08:51,925,26.9,-0.09,-1.04,0.22,483.209,5.845,85.392,0.07,65
17:08:52,900,26.9,-0.09,-1.04,0.25,489.291,6.027,85.770,0.07,67
17:08:52,863,26.9,-0.09,-1.04,0.19,497.765,6.278,86.261,0.06,70
17:08:53,799,26.9,-0.16,-1.04,0.16,502.887,6.464,86.603,0.06,75
17:08:54,740,26.9,-0.16,-1.07,0.25,506.948,6.650,86.928,0.11,81
17:08:54,666,26.9,0.03,-1.01,0.28,511.052,6.808,87.193,0.05,90
17:08:55,705,26.9,-0.03,-1.04,0.25,515.276,6.940,87.405,0.07,85
17:08:56,697,26.9,-0.03,-1.04,0.28,519.820,7.069,87.607,0.08,86
17:08:56,677,26.9,-0.03,-1.01,0.28,519.008,7.164,87.752,0.05,89
17:08:57,675,26.9,-0.03,-1.01,0.25,523.383,7.273,87.912,0.04,89
17:08:58,734,26.9,-0.03,-1.01,0.25,527.474,7.380,88.067,0.04,82
17:08:59,754,26.9,0.09,-1.04,0.25,530.545,7.502,88.238,0.07,80
17:08:59,760,26.9,0.09,-1.04,0.22,534.224,7.614,88.391,0.07,79
17:09:00,754,26.9,0.09,-1.04,0.22,536.189,7.728,88.543,0.07,80
17:09:01,758,26.9,0.03,-1.04,0.22,537.448,7.832,88.677,0.06,79
17:09:02,736,27.0,0.06,-1.04,0.25,537.935,7.929,88.801,0.07,82
17:09:02,716,27.0,-0.03,-1.04,0.25,537.618,8.018,88.911,0.07,84
17:09:03,714,27.0,-0.03,-1.04,0.22,536.539,8.099,89.010,0.06,84
17:09:04,689,27.0,-0.03,-1.04,0.28,535.553,8.164,89.088,0.08,87
17:09:04,673,27.0,-0.03,-1.04,0.22,532.174,8.233,89.169,0.06,89
17:09:05,672,27.0,-0.03,-1.04,0.22,529.804,8.291,89.237,0.06,89
17:09:06,665,27.1,-0.03,-1.04,0.22,525.545,8.352,89.307,0.06,90
17:09:06,672,27.1,-0.06,-1.01,0.22,521.760,8.412,89.375,0.03,89
17:09:07,674,27.1,-0.03,-1.04,0.22,516.807,8.478,89.449,0.06,89
17:09:08,694,27.1,-0.03,-1.04,0.22,510.358,8.551,89.530,0.06,86
17:09:08,692,27.1,-0.03,-1.04,0.22,502.894,8.633,89.619,0.06,87
17:09:09,716,27.1,-0.03,-1.04,0.22,495.856,8.721,89.713,0.06,84
17:09:10,709,27.1,-0.03,-1.04,0.22,485.409,8.831,89.828,0.06,85
17:09:10,659,27.1,-0.06,-1.04,0.25,475.517,8.953,89.952,0.07,91
17:09:11,683,27.1,-0.06,-1.01,0.22,464.599,9.088,90.087,0.03,88
17:09:12,691,27.1,-0.06,-1.04,0.19,452.347,9.246,90.240,0.06,87
17:09:13,743,27.1,-0.03,-1.04,0.22,441.043,9.413,90.397,0.06,81
17:09:14,762,27.1,-0.03,-1.04,0.25,429.469,9.605,90.570,0.07,79
17:09:15,832,27.1,-0.06,-1.04,0.22,415.469,9.815,90.754,0.06,72
17:09:16,966,27.1,-0.06,-1.04,0.19,402.815,10.042,90.943,0.06,62
17:09:16,880,27.1,-0.06,-1.01,0.25,378.784,10.518,91.318,0.04,68
17:09:17,850,27.1,-0.06,-1.01,0.25,361.647,10.834,91.550,0.04,71
17:09:18,862,27.2,-0.03,-1.04,0.19,344.969,11.146,91.767,0.06,70
17:09:19,827,27.2,-0.06,-1.04,0.25,318.619,11.752,92.158,0.07,73
17:09:20,794,27.2,-0.03,-1.04,0.25,303.511,12.080,92.355,0.07,76
17:09:20,819,27.2,-0.09,-1.07,0.25,288.164,12.417,92.547,0.10,73
17:09:21,745,27.2,0.06,-0.98,0.35,273.922,12.723,92.713,0.04,81
17:09:22,741,27.2,-0.13,-1.04,0.31,260.355,13.031,92.873,0.09,81
17:09:23,894,27.2,-0.16,-1.04,0.19,248.742,13.285,93.000,0.07,67
17:09:24,907,27.2,-0.09,-1.04,0.13,234.448,13.367,93.040,0.05,66
17:09:25,945,27.2,-0.09,-1.04,0.13,227.723,13.254,92.985,0.05,63
17:09:26,895,27.2,-0.09,-1.04,0.16,223.946,13.020,92.867,0.06,67
17:09:27,882,27.2,-0.09,-1.04,0.16,222.111,12.710,92.706,0.06,68
17:09:27,813,27.2,-0.09,-1.04,0.22,223.419,12.289,92.475,0.07,74
17:09:28,808,27.2,-0.09,-1.04,0.19,227.226,11.801,92.188,0.06,74
17:09:29,807,27.2,-0.09,-1.04,0.16,241.677,10.621,91.395,0.06,74
17:09:30,807,27.2,-0.09,-1.04,0.16,251.962,9.982,90.894,0.06,74
17:09:31,812,27.2,-0.09,-1.07,0.19,264.456,9.350,90.338,0.09,74
17:09:32,854,27.2,-0.09,-1.04,0.13,299.878,7.909,88.775,0.05,70
17:09:32,860,27.2,-0.09,-1.04,0.19,324.211,7.197,87.800,0.06,70
17:09:33,868,27.2,-0.09,-1.04,0.19,350.018,6.617,86.872,0.06,69
17:09:34,872,27.3,-0.09,-1.07,0.16,352.323,6.702,87.016,0.09,69
17:09:35,836,27.3,-0.09,-1.01,0.19,381.530,6.205,86.121,0.03,72
17:09:36,852,27.3,-0.09,-1.04,0.16,410.670,5.818,85.333,0.06,70
17:09:37,875,27.3,-0.09,-1.04,0.16,439.490,5.520,84.662,0.06,69
17:09:38,854,27.3,-0.13,-1.04,0.19,468.754,5.282,84.083,0.06,70
17:09:38,872,27.3,-0.09,-1.04,0.19,497.844,5.081,83.555,0.06,69
17:09:39,897,27.3,-0.09,-1.04,0.13,548.448,4.743,82.587,0.05,67
17:09:40,881,27.3,-0.09,-1.04,0.19,573.339,4.655,82.316,0.06,68
17:09:41,894,27.3,-0.09,-1.04,0.16,596.921,4.574,82.060,0.06,67
17:09:42,913,27.4,-0.13,-1.04,0.16,618.802,4.505,81.834,0.06,66
17:09:43,896,27.4,-0.09,-1.04,0.19,637.433,4.450,81.650,0.06,67
17:09:44,841,27.4,-0.09,-1.04,0.22,654.463,4.394,81.462,0.07,71
17:09:45,872,27.4,-0.09,-1.04,0.16,668.227,4.344,81.286,0.06,69
17:09:45,870,27.4,-0.09,-1.07,0.16,679.872,4.299,81.129,0.09,69
17:09:46,860,27.4,-0.09,-1.04,0.19,687.909,4.263,80.999,0.06,70
17:09:47,892,27.4,-0.09,-1.04,0.16,694.936,4.197,80.758,0.06,67
17:09:48,833,27.4,-0.09,-1.04,0.22,692.189,4.175,80.675,0.07,72
17:09:49,780,27.4,-0.16,-1.04,0.22,686.975,4.154,80.598,0.07,77
17:09:49,799,27.4,-0.13,-1.07,0.16,681.163,4.162,80.629,0.09,75
17:09:50,718,27.4,-0.13,-1.04,0.13,671.464,4.145,80.564,0.05,84
17:09:51,695,27.4,-0.13,-1.04,0.09,655.834,4.133,80.517,0.05,86
17:09:51,647,27.4,-0.13,-1.04,0.16,639.605,4.123,80.480,0.06,93
17:09:52,664,27.4,-0.13,-1.04,0.16,622.465,4.116,80.454,0.06,90
17:09:52,679,27.4,-0.13,-1.07,0.13,601.050,4.111,80.433,0.09,88
17:09:53,664,27.4,-0.13,-1.04,0.16,593.666,4.109,80.425,0.06,90
17:09:54,722,27.4,-0.13,-1.04,0.16,575.351,4.107,80.420,0.06,83
17:09:55,743,27.4,-0.13,-1.04,0.09,551.264,4.101,80.394,0.05,81
17:09:56,804,27.4,-0.16,-1.04,0.13,528.649,4.100,80.391,0.06,75
17:09:57,850,27.4,-0.13,-1.04,0.19,505.126,4.103,80.405,0.06,71
17:09:57,796,27.4,-0.16,-1.04,0.09,480.343,4.116,80.452,0.06,75
17:09:58,806,27.5,-0.13,-1.07,0.09,435.245,4.162,80.629,0.08,74
17:09:59,792,27.5,-0.16,-1.07,-0.06,408.505,4.210,80.804,0.08,76
17:10:00,751,27.5,-0.06,-1.07,0.09,384.156,4.276,81.046,0.08,80
17:10:00,758,27.5,-0.13,-1.07,0.13,360.254,4.366,81.364,0.09,79
17:10:01,685,27.5,-0.09,-1.04,0.13,338.269,4.488,81.778,0.05,88
17:10:02,658,27.5,-0.06,-1.07,0.16,317.771,4.635,82.253,0.08,91
17:10:02,681,27.5,-0.06,-1.07,0.09,299.609,4.798,82.752,0.08,88
17:10:03,717,27.5,-0.06,-1.04,0.03,282.519,5.018,83.385,0.04,84
17:10:04,868,27.5,-0.06,-1.07,0.06,266.413,5.316,84.168,0.07,69
17:10:05,913,27.5,-0.06,-1.04,0.09,251.600,5.727,85.135,0.05,66
17:10:06,836,27.6,-0.06,-1.04,0.13,238.887,6.196,86.104,0.05,72
17:10:07,849,27.6,-0.06,-1.04,0.09,227.611,6.707,87.024,0.05,71
17:10:08,862,27.6,-0.09,-1.04,0.06,212.192,7.374,88.058,0.05,70
17:10:09,858,27.6,-0.06,-1.04,0.09,206.302,7.894,88.756,0.05,70
17:10:09,792,27.6,-0.09,-1.04,0.13,201.624,8.480,89.451,0.05,76
17:10:10,817,27.6,-0.06,-1.04,0.09,197.169,9.022,90.022,0.05,73
17:10:11,790,27.6,-0.06,-1.04,0.13,197.755,9.427,90.410,0.05,76
17:10:12,759,27.6,-0.06,-1.04,0.13,200.104,9.780,90.723,0.05,79
17:10:12,803,27.6,-0.09,-1.04,0.09,204.332,10.057,90.956,0.05,75
17:10:13,803,27.6,-0.06,-1.04,0.13,211.302,10.263,91.121,0.05,75
17:10:14,809,27.6,-0.09,-1.07,0.09,221.064,10.346,91.186,0.08,74
17:10:15,872,27.6,-0.09,-1.04,0.06,234.068,10.285,91.139,0.05,69
17:10:16,894,27.6,-0.09,-1.04,0.06,250.394,10.111,91.000,0.05,67
17:10:17,885,27.6,-0.09,-1.07,0.13,269.149,9.852,90.786,0.08,68
17:10:18,855,27.6,-0.09,-1.07,0.13,291.843,9.510,90.485,0.08,70
17:10:19,872,27.7,-0.09,-1.07,0.06,315.295,9.150,90.148,0.08,69
17:10:20,881,27.7,-0.09,-1.04,0.06,341.556,8.759,89.753,0.05,68
17:10:20,866,27.7,-0.06,-1.04,0.09,369.485,8.356,89.312,0.05,69
17:10:21,849,27.7,-0.09,-1.04,0.13,398.347,7.972,88.855,0.05,71
17:10:22,870,27.7,-0.09,-1.04,0.06,429.843,7.563,88.322,0.05,69
17:10:23,855,27.7,-0.06,-1.07,-0.03,463.261,7.143,87.720,0.07,70
17:10:24,796,27.7,-0.06,-1.07,0.09,499.285,6.705,87.021,0.08,75
17:10:24,795,27.7,-0.09,-1.04,0.06,533.754,6.309,86.319,0.05,75
17:10:25,800,27.7,-0.09,-1.07,-0.06,567.801,5.940,85.590,0.08,75
17:10:26,745,27.7,-0.09,-1.04,0.13,600.871,5.599,84.847,0.05,81
17:10:27,749,27.7,-0.09,-1.04,0.09,631.051,5.286,84.091,0.05,80
17:10:27,731,27.7,-0.09,-1.04,0.09,659.003,5.013,83.368,0.05,82
17:10:28,710,27.7,-0.09,-1.04,0.13,685.096,4.758,82.633,0.05,85
17:10:29,805,27.7,-0.09,-1.04,0.09,708.913,4.522,81.892,0.05,75
17:10:30,858,27.8,-0.09,-1.04,0.06,731.022,4.294,81.111,0.05,70
17:10:31,878,27.8,-0.09,-1.04,0.06,750.750,4.077,80.305,0.05,68
17:10:32,807,27.8,-0.09,-1.04,0.13,765.471,3.871,79.471,0.05,74
17:10:32,811,27.8,-0.09,-1.04,0.09,777.259,3.704,78.741,0.05,74
17:10:33,820,27.8,-0.09,-1.04,0.06,785.122,3.554,78.041,0.05,73
17:10:34,803,27.8,-0.09,-1.04,0.13,787.287,3.420,77.377,0.05,75
17:10:35,764,27.8,-0.09,-1.07,0.13,781.247,3.376,77.149,0.08,79
17:10:35,801,27.8,-0.09,-1.04,0.09,778.281,3.273,76.596,0.05,75
17:10:36,812,27.8,-0.09,-1.04,0.06,769.151,3.177,76.061,0.05,74
17:10:37,822,27.8,-0.09,-1.04,0.09,759.560,3.102,75.624,0.05,73
17:10:38,759,27.8,-0.09,-1.04,0.13,743.496,3.039,75.241,0.05,79
17:10:39,752,27.8,-0.09,-1.07,0.13,728.680,2.990,74.935,0.08,80
17:10:39,797,27.8,-0.09,-1.04,0.09,708.840,2.954,74.712,0.05,75
17:10:40,816,27.8,-0.09,-1.07,0.13,687.051,2.934,74.579,0.08,74
17:10:41,869,27.8,-0.09,-1.07,0.09,663.270,2.928,74.544,0.08,69
17:10:42,862,27.9,-0.13,-1.04,0.06,637.132,2.941,74.624,0.05,70
17:10:43,788,27.9,-0.09,-1.04,0.09,613.380,2.962,74.761,0.05,76
17:10:44,784,27.9,-0.13,-1.04,0.09,591.085,2.989,74.931,0.05,77
17:10:44,822,27.9,-0.09,-1.07,0.06,578.613,3.021,75.128,0.08,73
17:10:45,826,27.9,-0.13,-1.04,0.06,557.222,3.053,75.328,0.05,73
17:10:46,772,27.9,-0.09,-1.07,0.09,540.629,3.079,75.482,0.08,78
17:10:47,779,27.9,-0.09,-1.04,0.09,525.086,3.101,75.616,0.05,77
17:10:48,812,27.9,-0.09,-1.07,0.06,512.554,3.109,75.661,0.08,74
17:10:48,821,27.9,-0.09,-1.07,0.06,504.797,3.096,75.587,0.08,73
17:10:49,801,27.9,-0.09,-1.04,0.13,500.261,3.064,75.394,0.05,75
17:10:50,740,27.9,-0.09,-1.04,0.13,499.378,3.010,75.064,0.05,81
17:10:51,796,27.9,-0.09,-1.07,0.06,501.811,2.950,74.682,0.08,75
17:10:51,773,27.9,-0.06,-1.07,0.09,507.386,2.860,74.094,0.08,78
17:10:52,726,27.9,-0.09,-1.07,0.09,515.695,2.765,73.442,0.08,83
17:10:53,798,27.9,-0.09,-1.04,0.06,525.920,2.670,72.755,0.05,75
17:10:54,794,27.9,-0.09,-1.04,0.13,543.211,2.528,71.657,0.05,76
17:10:55,872,27.9,-0.09,-1.04,0.09,560.473,2.394,70.536,0.05,69
17:10:56,875,27.9,-0.09,-1.07,0.13,581.039,2.246,69.194,0.08,69
17:10:56,831,27.9,-0.06,-1.04,0.22,603.132,2.102,67.767,0.06,72
17:10:57,731,27.9,-0.09,-1.04,0.19,624.736,1.973,66.360,0.06,82
17:10:58,850,28.0,-0.06,-1.04,0.16,645.622,1.842,64.812,0.05,71
17:10:59,892,28.0,-0.09,-1.07,0.09,667.227,1.724,63.289,0.08,67
17:11:00,903,28.0,-0.09,-1.04,0.06,687.421,1.606,61.621,0.05,66
17:11:01,851,28.0,-0.09,-1.07,0.13,706.158,1.502,60.031,0.08,71
17:11:01,812,28.0,-0.13,-1.07,0.13,731.942,1.369,57.795,0.09,74
17:11:02,807,28.0,-0.09,-1.07,0.06,745.438,1.282,56.173,0.08,74
17:11:03,779,28.0,-0.06,-1.04,0.09,757.454,1.194,54.415,0.05,77
17:11:04,761,28.0,-0.09,-1.07,0.09,770.870,1.108,52.553,0.08,79
17:11:04,781,28.0,-0.09,-1.04,0.06,782.982,1.027,50.659,0.05,77
17:11:05,786,28.0,-0.09,-1.04,0.09,794.506,0.959,48.952,0.05,76
17:11:06,771,28.1,-0.09,-1.04,0.06,803.929,0.893,47.176,0.05,78
17:11:07,767,28.1,-0.09,-1.04,0.06,814.579,0.839,45.611,0.05,78
17:11:07,763,28.1,-0.09,-1.04,0.09,825.245,0.791,44.180,0.05,79
17:11:08,717,28.1,-0.09,-1.07,0.13,824.722,0.766,43.377,0.08,84
17:11:09,744,28.1,-0.09,-1.07,0.06,834.124,0.727,42.090,0.08,81
17:11:10,718,28.1,-0.09,-1.07,0.13,845.920,0.696,41.032,0.08,84
17:11:10,657,28.1,-0.09,-1.04,0.16,858.041,0.672,40.193,0.06,91
17:11:11,693,28.1,-0.09,-1.04,0.16,869.997,0.656,39.614,0.06,87
17:11:11,661,28.1,-0.09,-1.04,0.16,883.383,0.643,39.133,0.06,91
17:11:12,669,28.1,-0.09,-1.07,0.22,886.219,0.628,38.571,0.10,90
17:11:13,711,28.1,-0.13,-1.04,0.13,901.283,0.623,38.382,0.05,84
17:11:14,724,28.1,-0.09,-1.04,0.19,916.914,0.619,38.238,0.06,83
17:11:15,757,28.1,-0.13,-1.04,0.19,933.702,0.618,38.193,0.06,79
17:11:15,753,28.1,-0.09,-1.04,0.16,951.575,0.620,38.287,0.06,80
17:11:16,768,28.1,-0.13,-1.04,0.16,970.494,0.629,38.600,0.06,78
17:11:17,737,28.1,-0.13,-1.04,0.19,988.208,0.640,39.015,0.06,81
17:11:17,737,28.1,-0.13,-1.04,0.19,1004.692,0.653,39.516,0.06,81
17:11:18,734,28.1,-0.13,-1.04,0.13,1019.868,0.670,40.120,0.05,82
17:11:19,749,28.1,-0.13,-1.04,0.16,1022.817,0.666,39.964,0.06,80
17:11:20,724,28.1,-0.13,-1.04,0.19,1035.243,0.688,40.769,0.06,83
17:11:20,757,28.1,-0.13,-1.04,0.19,1044.919,0.713,41.630,0.06,79
17:11:21,776,28.1,-0.13,-1.04,0.19,1054.038,0.743,42.611,0.06,77
17:11:22,796,28.2,-0.13,-1.04,0.16,1056.280,0.776,43.696,0.06,75
17:11:23,847,28.2,-0.13,-1.04,0.13,1055.751,0.811,44.778,0.05,71
17:11:24,845,28.2,-0.13,-1.04,0.16,1051.917,0.849,45.910,0.06,71
17:11:25,830,28.2,-0.13,-1.07,0.16,1040.431,0.890,47.096,0.09,72
17:11:25,760,28.2,-0.13,-1.04,0.19,1028.349,0.927,48.101,0.06,79
17:11:26,774,28.2,-0.13,-1.04,0.16,1007.431,0.968,49.176,0.06,78
17:11:27,779,28.2,-0.13,-1.04,0.13,986.123,1.007,50.165,0.05,77
17:11:28,759,28.2,-0.13,-1.04,0.19,958.890,1.049,51.197,0.06,79
17:11:28,740,28.2,-0.13,-1.04,0.16,928.517,1.101,52.397,0.06,81
17:11:29,757,28.2,-0.13,-1.04,0.13,890.621,1.166,53.831,0.05,79
17:11:30,760,28.2,-0.13,-1.04,0.13,847.805,1.241,55.377,0.05,79
17:11:31,725,28.2,-0.13,-1.04,0.19,806.553,1.315,56.796,0.06,83
17:11:31,743,28.2,-0.13,-1.04,0.16,762.129,1.401,58.349,0.06,81
17:11:32,763,28.2,-0.13,-1.04,0.13,712.304,1.507,60.118,0.05,79
17:11:33,785,28.2,-0.13,-1.04,0.13,701.976,1.563,60.982,0.05,76
17:11:34,764,28.2,-0.13,-1.04,0.19,653.558,1.687,62.791,0.06,79
17:11:35,777,28.2,-0.13,-1.04,0.19,607.512,1.827,64.622,0.06,77
17:11:36,824,28.2,-0.13,-1.04,0.16,559.478,1.993,66.594,0.06,73
17:11:36,850,28.2,-0.13,-1.04,0.16,512.336,2.187,68.620,0.06,71
17:11:37,856,28.2,-0.13,-1.07,0.16,466.529,2.413,70.703,0.09,70
17:11:38,828,28.2,-0.13,-1.04,0.19,389.863,2.862,74.109,0.06,72
17:11:39,806,28.2,-0.09,-1.07,0.19,351.394,3.203,76.207,0.09,74
17:11:40,856,28.2,-0.13,-1.04,0.19,315.030,3.597,78.245,0.06,70
17:11:40,831,28.2,-0.13,-1.07,0.16,280.339,4.068,80.269,0.09,72
17:11:41,818,28.2,-0.13,-1.04,0.19,250.304,4.582,82.087,0.06,73
17:11:42,741,28.2,-0.13,-1.01,0.25,227.136,5.090,83.580,0.05,81
17:11:43,727,28.2,-0.13,-1.01,0.31,207.271,5.578,84.798,0.06,83
17:11:43,768,28.2,-0.13,-1.04,0.19,190.157,6.070,85.856,0.06,78
17:11:44,712,28.2,-0.13,-1.04,0.13,177.680,6.516,86.694,0.05,84
17:11:45,687,28.2,-0.13,-1.04,0.13,185.947,6.337,86.370,0.05,87
17:11:45,684,28.2,-0.13,-1.04,0.13,177.519,6.620,86.877,0.05,88
17:11:46,705,28.3,-0.13,-1.07,0.16,172.124,6.819,87.211,0.09,85
17:11:47,709,28.3,-0.13,-1.04,0.19,169.527,6.935,87.398,0.06,85
17:11:48,733,28.3,-0.13,-1.04,0.16,169.634,6.958,87.434,0.06,82
17:11:48,742,28.3,-0.13,-1.04,0.13,172.086,6.895,87.334,0.05,81
17:11:49,760,28.3,-0.13,-1.07,0.16,177.376,6.720,87.046,0.09,79
17:11:50,758,28.3,-0.13,-1.04,0.16,184.447,6.505,86.675,0.06,79
17:11:51,761,28.3,-0.13,-1.04,0.13,192.488,6.274,86.253,0.05,79
17:11:51,772,28.3,-0.13,-1.04,0.13,200.884,6.052,85.820,0.05,78
17:11:52,779,28.3,-0.13,-1.07,0.13,210.334,5.833,85.365,0.09,77
17:11:53,772,28.3,-0.09,-1.04,0.13,219.897,5.636,84.931,0.05,78
17:11:54,764,28.3,-0.09,-1.04,0.16,228.719,5.484,84.578,0.06,79
17:11:54,750,28.3,-0.13,-1.04,0.16,237.201,5.353,84.261,0.06,80
17:11:55,759,28.3,-0.13,-1.07,0.13,244.831,5.254,84.010,0.09,79
17:11:56,768,28.3,-0.09,-1.04,0.16,254.786,5.083,83.561,0.06,78
17:11:57,743,28.3,-0.09,-1.07,0.16,262.434,5.004,83.345,0.09,81
17:11:58,775,28.4,-0.13,-1.04,0.13,268.111,4.966,83.237,0.05,77
17:11:58,804,28.4,-0.13,-1.04,0.13,273.242,4.943,83.173,0.05,75
17:11:59,837,28.4,-0.13,-1.07,0.16,277.632,4.945,83.179,0.09,72
17:12:00,804,28.4,-0.13,-1.07,0.16,281.310,4.977,83.269,0.09,75
17:12:01,831,28.4,-0.13,-1.04,0.13,284.238,5.018,83.383,0.05,72
17:12:02,818,28.4,-0.13,-1.04,0.13,286.293,5.076,83.541,0.05,73
17:12:03,835,28.4,-0.13,-1.04,0.13,287.445,5.147,83.733,0.05,72
17:12:03,823,28.4,-0.13,-1.07,0.13,287.571,5.227,83.940,0.09,73
17:12:04,785,28.4,-0.13,-1.07,0.16,286.973,5.314,84.162,0.09,76
17:12:05,811,28.4,-0.13,-1.07,0.09,285.320,5.407,84.393,0.08,74
17:12:06,815,28.4,-0.13,-1.04,0.09,282.339,5.507,84.632,0.05,74
17:12:07,847,28.4,-0.13,-1.04,0.09,279.294,5.600,84.850,0.05,71
17:12:08,808,28.4,-0.13,-1.04,0.13,274.782,5.696,85.066,0.05,74
17:12:08,717,28.4,-0.09,-1.04,0.19,269.814,5.783,85.258,0.06,84
17:12:09,708,28.4,-0.09,-1.04,0.22,264.554,5.877,85.459,0.07,85
17:12:09,727,28.4,-0.09,-1.04,0.13,260.201,5.951,85.614,0.05,83
17:12:10,742,28.4,-0.09,-1.04,0.16,254.155,6.028,85.772,0.06,81
17:12:11,710,28.4,-0.09,-1.07,0.16,247.484,6.102,85.920,0.09,85
17:12:12,768,28.4,-0.09,-1.04,0.16,242.054,6.158,86.030,0.06,78
17:12:13,788,28.4,-0.09,-1.04,0.16,234.397,6.153,86.020,0.06,76
17:12:13,815,28.4,-0.09,-1.04,0.16,227.468,6.175,86.063,0.06,74
17:12:14,835,28.4,-0.09,-1.04,0.16,221.659,6.158,86.030,0.06,72
17:12:15,858,28.4,-0.09,-1.04,0.16,215.496,6.128,85.971,0.06,70
17:12:16,825,28.4,-0.13,-1.07,0.19,210.030,6.069,85.853,0.09,73
17:12:17,814,28.4,-0.13,-1.04,0.16,205.645,5.989,85.692,0.06,74
17:12:17,765,28.4,-0.13,-1.04,0.19,202.213,5.880,85.464,0.06,78
17:12:18,745,28.4,-0.13,-1.07,0.16,200.113,5.730,85.142,0.09,81
17:12:19,726,28.4,-0.16,-1.04,0.16,198.731,5.546,84.723,0.06,83
17:12:19,705,28.4,-0.13,-1.04,0.19,198.262,5.348,84.247,0.06,85
17:12:20,688,28.4,-0.13,-1.04,0.19,198.626,5.120,83.660,0.06,87
17:12:21,730,28.4,-0.13,-1.04,0.16,199.601,4.881,82.996,0.06,82
17:12:22,727,28.4,-0.13,-1.04,0.16,201.379,4.655,82.318,0.06,83
17:12:22,768,28.4,-0.13,-1.04,0.13,203.982,4.437,81.607,0.05,78
17:12:23,783,28.4,-0.13,-1.04,0.13,207.479,4.254,80.967,0.05,77
17:12:24,788,28.4,-0.13,-1.07,0.13,211.687,4.104,80.407,0.09,76
17:12:25,736,28.4,-0.13,-1.04,0.16,216.730,3.990,79.959,0.06,82
17:12:26,735,28.5,-0.13,-1.04,0.16,221.663,3.897,79.578,0.06,82
17:12:26,719,28.5,-0.13,-1.07,0.13,227.125,3.840,79.341,0.09,83
17:12:27,722,28.5,-0.13,-1.07,0.13,232.364,3.809,79.205,0.09,83
17:12:28,681,28.5,-0.13,-1.04,0.16,237.771,3.810,79.210,0.06,88
17:12:28,716,28.5,-0.13,-1.04,0.16,242.436,3.858,79.416,0.06,84
17:12:29,720,28.5,-0.13,-1.04,0.13,247.526,3.895,79.573,0.05,83
17:12:30,744,28.5,-0.13,-1.04,0.09,251.982,3.953,79.810,0.05,81
17:12:31,776,28.5,-0.13,-1.04,0.09,256.281,4.031,80.122,0.05,77
17:12:31,746,28.5,-0.13,-1.04,0.16,260.235,4.138,80.537,0.06,80
17:12:32,693,28.5,-0.13,-1.04,0.16,263.040,4.269,81.020,0.06,87
17:12:33,716,28.5,-0.13,-1.04,0.13,264.665,4.422,81.558,0.05,84
17:12:33,728,28.5,-0.13,-1.04,0.09,265.639,4.588,82.103,0.05,82
17:12:34,773,28.5,-0.13,-1.04,0.09,265.460,4.782,82.704,0.05,78
17:12:35,829,28.5,-0.09,-1.04,0.13,264.606,4.992,83.312,0.05,72
17:12:36,783,28.5,-0.09,-1.04,0.16,262.309,5.237,83.967,0.06,77
17:12:37,782,28.5,-0.13,-1.04,0.13,259.363,5.487,84.584,0.05,77
